c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus or minus,Players,plus or minus,Avg Playtime,Median Playtime
1,157,Mervils: A VR Adventure,"Oct 25, 2016",$19.99,N/A (N/A),"$35,002","1,751","±1,210","1,751","±1,210",0:54:00,0:55
1,158,'n Verlore Verstand,"Apr 5, 2016",$14.99,N/A (N/A),"$26,247","1,751","±1,210","1,094",±956,5:02:00,7:45
1,112,Beeftacular,"Aug 26, 2016",$2.99,N/A (N/A),"$4,886","1,634","±1,429",654,±904,0:42:00,0:42
1,188,Paradox Paradigm,"May 23, 2016",$2.99,N/A (N/A),"$3,271","1,094",±956,438,±605,0:13:00,0:07
1,184,Trials of Azra,"Sep 15, 2016",$9.99,N/A (N/A),"$8,741",875,±855,438,±605,2:05:00,1:23
1,228,Downward,"Dec 19, 2016",$9.99,N/A (N/A),"$8,741",875,±855,875,±855,0:30:00,0:38
1,176,Zero Gravity,"Aug 28, 2016",$10.99,N/A (N/A),"$7,220",657,±741,438,±605,1:27:00,0:58
50,,,,$7.14,,"$30,038,189","4,937,131",,"3,202,347",,3:18:10,2:50:16
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Stats,,,,,,,,,,
,,Total Games,50,,,,,,,,,
,,Total Sales,"$30,038,189",,,,,,,,,
,,Total Copies,"4,937,131",,,,,,,,,
,,,,,,,,,,,,
,,Owners per Game,"98,743",,,,,,,,,
,,Avg Play Time per Game,3:18:10,,,,,,,,,
,,Average Price,$7.14,,,,,,,,,
,,Avg Net Revenue per Game,"$600,764",,,,,,,,,
,,Value of Each Owner (Total $ / Owners),$6.08,,,,,,,,,
