c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,112,ClusterTruck,9/27/2016,$14.99,73% (89%/76%),"2,305,072","153,774","±11,203","142,668","±10,791",4:03:00,2:15:00
1,1497,HunieCam Studio,4/4/2016,$6.99,49% (80%),"1,027,111","146,940","±10,952","135,193","±10,505",10:05:00,4:46:00
1,101,Beholder,11/9/2016,$9.99,83% (92%/77%),"1,425,253","142,668","±10,791","123,019","±10,021",5:04:00,3:24:00
1,572,Vengeance Road,6/17/2016,$1.99,39% (75%),"255,434","128,359","±10,236","64,713","±7,268",2:47:00,3:03:00
1,2,Out of the Park Baseball 17,3/22/2016,$19.99,80% (91%/92%),"2,501,848","125,155","±10,107","46,987","±6,194",64:46:00,4:27:00
1,182,Transport Fever,11/8/2016,$34.99,39% (75%/71%),"4,364,233","124,728","±10,090","120,029","±9,898",37:51:00,19:56:00
1,1248,HomeBehind,6/2/2016,$5.99,77% (90%),"738,166","123,233","±10,030","117,680","±9,801",13:52:00,9:03:00
1,728,Forbidden planet,1/11/2016,$0.99,N/A (N/A),"117,983","119,175","±9,863","89,915","±8,567",3:41:00,3:31:00
1,1351,Invasion: Brain Craving,6/22/2016,$0.99,7% (45%),"116,291","117,466","±9,792","73,470","±7,745",3:40:00,3:33:00
1,1457,Spaceport Hope,4/15/2016,$1.99,52% (81%),"229,509","115,331","±9,703","69,412","±7,528",3:22:00,3:11:00
1,1254,Divinity: Original Sin 2,9/15/2016,$44.99,93% (95%),"5,025,383","111,700","±9,549","92,478","±8,689",10:27:00,5:53:00
1,234,Oh...Sir! The Insult Simulator,10/25/2016,$1.49,93% (95%/66%),"164,205","110,205","±9,485","94,187","±8,769",2:51:00,1:35:00
1,554,Adorables,3/30/2016,$2.99,N/A (N/A),"319,933","107,001","±9,346","85,217","±8,341",7:36:00,7:25:00
1,748,Squirbs,1/6/2016,$4.99,25% (66%),"520,083","104,225","±9,224","69,198","±7,516",2:58:00,3:08:00
1,479,TheOrbChambers,6/3/2016,$4.99,N/A (N/A),"514,753","103,157","±9,177","72,402","±7,688",4:05:00,3:31:00
1,1334,EvilMaze,6/17/2016,$1.59,43% (77%),"160,623","101,021","±9,081","75,819","±7,867",4:40:00,4:48:00
1,377,Red Risk,3/4/2016,$0.49,8% (47%),"48,454","98,885","±8,985","63,432","±7,196",3:34:00,3:44:00
1,204,Ashes of the Singularity,3/31/2016,$19.99,23% (65%/69%),"1,908,405","95,468","±8,828","83,081","±8,235",8:07:00,2:34:00
1,38,The Banner Saga 2,4/19/2016,$19.99,80% (91%/82%),"1,887,056","94,400","±8,778","63,859","±7,220",13:22:00,9:33:00
1,972,Mad Games Tycoon,9/13/2016,$14.99,80% (91%),"1,405,462","93,760","±8,749","90,129","±8,578",19:00:00,9:33:00
1,331,AI: Rampage,1/27/2016,$1.99,1% (21%),"182,756","91,837","±8,659","5,339","±2,088",3:21:00,0:04:00
1,1205,Naval Action,1/21/2016,$39.99,37% (74%),"3,570,067","89,274","±8,537","88,847","±8,516",104:58:00,18:12:00
1,1339,Purgatory,6/22/2016,$0.99,32% (71%),"87,748","88,634","±8,506","40,793","±5,771",2:56:00,2:58:00
1,1580,The Jackbox Party Pack 3,10/17/2016,$24.99,87% (93%),"2,193,597","87,779","±8,465","79,450","±8,054",6:18:00,3:34:00
1,1551,Day of Infamy,7/28/2016,$19.99,61% (85%),"1,746,166","87,352","±8,444","83,081","±8,235",9:32:00,3:49:00
1,511,Rabiez: Epidemic,3/4/2016,$1.99,N/A (N/A),"172,981","86,925","±8,424","4,272","±1,867",0:19:00,0:19:00
1,23,Shadow Tactics: Blades of the Shogun,12/6/2016,$39.99,98% (97%/84%),"3,416,346","85,430","±8,351","76,887","±7,923",14:19:00,7:23:00
1,1375,Nebula Online,11/3/2016,$4.99,4% (38%),"420,966","84,362","±8,299","46,346","±6,151",4:37:00,5:35:00
1,816,Era: The Fantasy Settlement Sim,2/26/2016,$5.99,N/A (N/A),"500,213","83,508","±8,257","42,715","±5,905",2:12:00,2:40:00
1,592,Cosmic Dust & Rust,5/17/2016,$0.99,13% (55%),"79,924","80,731","±8,118","43,997","±5,993",3:28:00,3:30:00
1,502,8-Bit Armies,4/22/2016,$14.99,61% (85%),"1,062,896","70,907","±7,608","62,150","±7,123",7:33:00,3:39:00
1,174,Halcyon 6: Starbase Commander,9/8/2016,$19.99,47% (79%/72%),"1,361,939","68,131","±7,458","61,083","±7,062",10:35:00,6:05:00
1,162,Project Highrise,9/8/2016,$19.99,54% (82%/73%),"1,349,125","67,490","±7,423","63,432","±7,196",10:24:00,6:17:00
1,1308,Raw Data,7/14/2016,$39.99,64% (86%),"2,681,849","67,063","±7,399","61,083","±7,062",7:08:00,2:04:00
1,328,Hero Quest: Tower Conflict,4/13/2016,$0.99,1% (25%),"63,855","64,500","±7,256","47,627","±6,236",3:45:00,3:30:00
1,1023,Kingdom Wars 2: Battles,3/4/2016,$18.99,30% (70%),"1,204,574","63,432","±7,196","51,472","±6,482",5:49:00,2:24:00
1,1500,Life is Feudal: Forest Village,8/26/2016,$24.99,32% (71%),"1,569,147","62,791","±7,160","59,587","±6,975",15:49:00,7:31:00
1,374,Cyborg Detonator,4/22/2016,$3.99,12% (53%),"240,310","60,228","±7,012","48,054","±6,263",5:04:00,4:31:00
1,504,Redactem,8/1/2016,$3.99,N/A (N/A),"240,310","60,228","±7,012","3,844","±1,771",49:56:00,0:43:00
1,1366,Toy Soldiers: Complete,2/17/2016,$14.99,41% (76%),"886,808","59,160","±6,950","49,763","±6,374",7:22:00,4:51:00
1,594,Parkitect,5/5/2016,$17.99,73% (89%),"1,056,607","58,733","±6,925","54,675","±6,681",10:10:00,3:45:00
1,582,SUPERFIGHT,7/21/2016,$9.99,29% (69%),"580,339","58,092","±6,887","41,220","±5,801",4:35:00,5:14:00
1,342,Neon Space 2,7/26/2016,$0.99,52% (81%),"54,975","55,530","±6,733","25,629","±4,574",3:21:00,3:46:00
1,410,King's Guard TD,6/8/2016,$0.99,N/A (N/A),"54,128","54,675","±6,681","38,871","±5,633",3:03:00,3:09:00
1,145,"Gremlins, Inc.",3/10/2016,$14.99,67% (87%/74%),"816,385","54,462","±6,668","48,909","±6,319",15:31:00,5:22:00
1,460,Autumn,5/14/2016,$2.99,N/A (N/A),"162,202","54,248","±6,655","43,356","±5,949",4:27:00,3:31:00
1,543,Neon Space,5/12/2016,$0.99,64% (86%),"52,225","52,753","±6,563","26,910","±4,687",2:47:00,3:00:00
1,1272,Blueprint Tycoon,5/13/2016,$2.99,52% (81%),"153,261","51,258","±6,469","44,637","±6,037",3:23:00,1:30:00
1,1263,Welcome to the Game,6/15/2016,$1.99,54% (82%),"100,728","50,617","±6,428","43,569","±5,964",3:14:00,0:50:00
1,1332,Escape This,5/4/2016,$0.99,N/A (N/A),"48,843","49,336","±6,346","39,084","±5,649",3:23:00,3:27:00
1,384,GooCubelets: OCD,5/6/2016,$1.99,26% (67%),"97,753","49,122","±6,333","33,958","±5,265",4:57:00,4:31:00
1,418,BoneBone,6/17/2016,$1.99,N/A (N/A),"97,753","49,122","±6,333","36,521","±5,460",3:21:00,3:22:00
1,558,Fly and Destroy,7/29/2016,$1.99,N/A (N/A),"97,329","48,909","±6,319","24,775","±4,497",2:58:00,3:23:00
1,351,Endless SpaceÂ® 2,10/6/2016,$29.99,52% (81%),"1,453,975","48,482","±6,291","45,492","±6,094",13:51:00,5:56:00
1,1464,Make America Great Again: The Trump Presidency,9/26/2016,$2.24,77% (90%),"108,120","48,268","±6,277","41,434","±5,816",1:56:00,1:41:00
1,4,Tumblestone,7/12/2016,$24.99,49% (80%/91%),"1,152,839","46,132","±6,137","10,038","±2,863",3:31:00,1:36:00
1,609,Drawful 2,6/20/2016,$9.99,70% (88%),"458,731","45,919","±6,123","41,434","±5,816",3:59:00,2:16:00
1,490,Pool Nation VR,6/1/2016,$19.99,95% (96%),"905,107","45,278","±6,080","40,366","±5,741",2:00:00,0:49:00
1,695,Tempest,8/22/2016,$14.99,34% (72%),"675,509","45,064","±6,066","38,016","±5,571",5:54:00,2:05:00
1,538,Love is Blind: Mutants,3/15/2016,$59.99,N/A (N/A),"2,664,996","44,424","±6,022","30,968","±5,028",3:37:00,3:32:00
1,589,Waddle Home,7/7/2016,$9.99,N/A (N/A),"443,796","44,424","±6,022","2,563","±1,446",0:05:00,0:05:00
1,1542,Eisenwald: Blood of November,11/1/2016,$8.99,22% (64%),"391,685","43,569","±5,964","7,902","±2,540",5:28:00,2:19:00
1,1439,Space Pirates and Zombies 2,5/17/2016,$19.99,56% (83%),"862,409","43,142","±5,935","40,366","±5,741",16:52:00,11:32:00
1,370,Kingdom Rush Frontiers,7/25/2016,$9.99,95% (96%),"426,723","42,715","±5,905","40,793","±5,771",16:02:00,10:30:00
1,30,Duskers,5/18/2016,$19.99,77% (90%/83%),"845,337","42,288","±5,876","37,589","±5,540",8:42:00,3:35:00
1,464,Final Approach,4/4/2016,$14.99,90% (94%),"624,289","41,647","±5,831","18,581","±3,895",1:21:00,0:41:00
1,1476,Onward,8/29/2016,$24.99,83% (92%),"998,076","39,939","±5,710","36,094","±5,428",8:57:00,2:32:00
1,309,Super Duper Party Pooper,6/6/2016,$0.99,70% (88%/40%),"38,905","39,298","±5,664","26,483","±4,650",3:05:00,3:22:00
1,141,The Curious Expedition,9/2/2016,$14.99,73% (89%/74%),"582,676","38,871","±5,633","36,521","±5,460",7:10:00,3:35:00
1,1264,The Political Machine 2016,2/4/2016,$4.99,41% (76%),"190,768","38,230","±5,587","35,026","±5,347",5:52:00,2:34:00
1,316,Rise of the Ancients,5/31/2016,$1.99,N/A (N/A),"73,952","37,162","±5,508","21,998","±4,238",2:40:00,2:44:00
1,449,The Last Leviathan,6/22/2016,$9.99,67% (87%),"364,845","36,521","±5,460","34,172","±5,282",6:24:00,1:39:00
1,51,SteamWorld Heist,6/7/2016,$19.99,98% (97%/81%),"717,261","35,881","±5,412","30,328","±4,976",8:18:00,5:01:00
1,380,8-Bit Hordes,8/12/2016,$14.99,59% (84%),"531,440","35,453","±5,380","27,765","±4,761",4:09:00,2:14:00
1,514,Pristine world,7/9/2016,$4.99,N/A (N/A),"175,848","35,240","±5,364","25,843","±4,593",3:01:00,3:11:00
1,1122,RPG Tycoon,2/12/2016,$9.99,23% (65%),"349,910","35,026","±5,347","30,541","±4,993",2:46:00,1:43:00
1,1488,Block'hood,3/9/2016,$9.99,52% (81%),"349,910","35,026","±5,347","31,823","±5,097",2:17:00,1:11:00
1,623,WARSHIFT,10/12/2016,$12.99,47% (79%),"443,894","34,172","±5,282","29,260","±4,887",1:47:00,0:51:00
1,457,Of Kings And Men,8/25/2016,$24.99,14% (56%),"848,610","33,958","±5,265","32,891","±5,182",11:40:00,3:30:00
1,446,Torment: Tides of Numenera,1/26/2016,$44.99,54% (82%),"1,412,506","31,396","±5,063","21,571","±4,196",4:11:00,1:49:00
1,552,Niche - a genetics survival game,9/15/2016,$18.99,87% (93%),"592,146","31,182","±5,045","29,046","±4,870",11:18:00,6:39:00
1,807,Pro Gamer Manager,4/28/2016,$12.99,13% (55%),"402,274","30,968","±5,028","27,978","±4,779",8:47:00,4:53:00
1,1214,Ultimate General: Civil War,11/16/2016,$29.99,87% (93%),"922,342","30,755","±5,011","28,619","±4,834",24:04:00,12:12:00
1,198,Ember,9/9/2016,$6.99,49% (80%/70%),"210,497","30,114","±4,958","20,930","±4,134",5:10:00,1:21:00
1,560,12 Labours of Hercules V: Kids of Hellas,6/17/2016,$2.99,73% (89%),"90,041","30,114","±4,958","20,290","±4,070",5:21:00,4:31:00
1,604,The Big Elk,5/24/2016,$4.99,49% (80%),"150,269","30,114","±4,958","19,862","±4,027",3:30:00,3:21:00
1,428,Moon Colonization Project,7/9/2016,$2.99,N/A (N/A),"89,404","29,901","±4,941","23,066","±4,339",4:10:00,4:30:00
1,1062,Habitat,1/26/2016,$14.99,13% (55%),"438,607","29,260","±4,887","25,415","±4,555",1:41:00,0:43:00
1,1481,Zombie Boom,8/23/2016,$0.51,16% (58%),"14,705","28,833","±4,852","19,435","±3,983",3:49:00,3:16:00
1,57,Zombie Night Terror,7/20/2016,$12.99,87% (93%/81%),"371,761","28,619","±4,834","26,056","±4,612",5:20:00,2:21:00
1,494,Infectonator : Survivors,8/8/2016,$11.99,29% (69%),"340,588","28,406","±4,816","26,270","±4,631",8:32:00,2:50:00
1,536,Tales from the Void,5/20/2016,$9.99,N/A (N/A),"283,776","28,406","±4,816","10,465","±2,923",2:20:00,2:27:00
1,1410,Desolate Wastes: Vendor Chronicles,12/20/2016,$0.99,N/A (N/A),"27,910","28,192","±4,797","14,096","±3,392",3:29:00,3:22:00
1,564,Odd||Even,4/6/2016,$4.99,N/A (N/A),"139,610","27,978","±4,779","16,445","±3,664",4:15:00,4:28:00
1,629,Battlestation: Harbinger,2/24/2016,$9.99,52% (81%),"279,500","27,978","±4,779","21,571","±4,196",10:48:00,4:36:00
1,524,FORCED 2: The Rush,3/29/2016,$19.99,67% (87%),"555,022","27,765","±4,761","23,280","±4,360",7:18:00,4:15:00
1,487,SweatShop,7/22/2016,$0.99,3% (34%),"26,853","27,124","±4,706","21,998","±4,238",3:34:00,3:15:00
1,1391,Ballistic Protection,10/12/2016,$4.99,28% (68%),"135,349","27,124","±4,706","18,795","±3,917",3:46:00,4:22:00
1,665,Age of Steel: Recharge,1/6/2016,$6.99,N/A (N/A),"185,116","26,483","±4,650","16,872","±3,711",3:57:00,4:06:00
1,274,We Are The Dwarves,2/25/2016,$6.99,49% (80%/60%),"176,162","25,202","±4,536","14,310","±3,418",2:34:00,2:18:00
1,431,Physic Monster,10/19/2016,$0.49,N/A (N/A),"12,349","25,202","±4,536","2,563","±1,446",2:12:00,1:36:00
1,404,A Land Fit For Heroes,5/3/2016,$9.99,N/A (N/A),"249,630","24,988","±4,517","1,922","±1,252",1:17:00,0:21:00
1,408,Out of Ammo,9/14/2016,$19.99,80% (91%),"495,252","24,775","±4,497","23,280","±4,360",3:14:00,1:26:00
1,356,The Dweller,5/19/2016,$4.99,98% (97%),"119,361","23,920","±4,419","12,601","±3,207",2:47:00,2:49:00
1,268,Into the Stars,3/4/2016,$19.99,10% (51%/61%),"473,903","23,707","±4,399","19,008","±3,939",2:39:00,1:23:00
1,83,Dungelot : Shattered Lands,2/18/2016,$9.99,30% (70%/78%),"234,695","23,493","±4,379","17,300","±3,758",8:55:00,4:59:00
1,289,Planar Conquest,5/30/2016,$19.99,9% (48%/53%),"465,367","23,280","±4,360","10,038","±2,863",14:52:00,2:07:00
1,501,Quar: Battle for Gate 18,4/4/2016,$19.99,N/A (N/A),"465,367","23,280","±4,360","2,563","±1,446",1:50:00,2:41:00
1,756,Sol 0: Mars Colonization,1/15/2016,$5.99,32% (71%),"139,447","23,280","±4,360","21,785","±4,217",10:44:00,4:51:00
1,516,The Spatials: Galactology,7/7/2016,$12.99,N/A (N/A),"294,081","22,639","±4,299","3,844","±1,771",1:34:00,0:29:00
1,551,Dead Age,11/4/2016,$14.99,61% (85%),"336,151","22,425","±4,279","19,649","±4,005",9:34:00,4:15:00
1,281,Clockwork Empires,10/26/2016,$29.99,21% (63%/58%),"666,138","22,212","±4,258","21,358","±4,176",17:25:00,5:45:00
1,363,The Mahjong Huntress,5/25/2016,$4.99,N/A (N/A),"109,770","21,998","±4,238","13,669","±3,340",2:51:00,2:57:00
1,540,Take Thy Throne,7/5/2016,$1.99,22% (64%),"43,352","21,785","±4,217","14,523","±3,443",2:42:00,2:29:00
1,368,Pixel Puzzles 2: Space,2/19/2016,$1.49,N/A (N/A),"32,141","21,571","±4,196","7,902","±2,540",8:41:00,5:13:00
1,495,The Orb Chambers II,8/1/2016,$6.99,N/A (N/A),"150,781","21,571","±4,196","9,824","±2,832",4:53:00,5:53:00
1,859,Hero Defense - Haunted Island,5/31/2016,$14.99,37% (74%),"323,349","21,571","±4,196","19,008","±3,939",4:56:00,2:27:00
1,117,Space Run Galaxy,6/17/2016,$19.99,34% (72%/75%),"414,133","20,717","±4,113","14,737","±3,468",17:58:00,6:43:00
1,1577,Fairyland: Fairy Power,11/10/2016,$1.99,N/A (N/A),"40,801","20,503","±4,091","17,086","±3,735",3:57:00,3:25:00
1,1164,Ascent - The Space Game,4/11/2016,$19.99,37% (74%),"401,319","20,076","±4,048","7,689","±2,505",14:17:00,2:48:00
1,456,ROD: Revolt Of Defense,8/12/2016,$0.99,52% (81%),"19,663","19,862","±4,027","15,805","±3,592",1:48:00,1:09:00
1,1303,Force of Nature,12/13/2016,$7.99,52% (81%),"158,697","19,862","±4,027","18,795","±3,917",9:47:00,5:26:00
1,402,Particle Fleet: Emergence,9/29/2016,$14.99,83% (92%),"291,331","19,435","±3,983","17,513","±3,781",16:57:00,8:40:00
1,593,REDCON,4/22/2016,$5.99,26% (67%),"116,416","19,435","±3,983","17,940","±3,827",6:28:00,2:40:00
1,498,Maze Lord,6/17/2016,$0.49,43% (77%),"9,314","19,008","±3,939","12,387","±3,180",4:27:00,5:02:00
1,795,Dungeon Rushers,9/6/2016,$14.99,43% (77%),"281,737","18,795","±3,917","17,086","±3,735",6:59:00,3:47:00
1,541,Ahnayro: The Dream World,12/1/2016,$9.99,N/A (N/A),"185,624","18,581","±3,895","3,204","±1,617",1:06:00,1:22:00
1,1304,Pre-Civilization Egypt,10/10/2016,$8.99,87% (93%),"167,043","18,581","±3,895","16,659","±3,688",6:02:00,4:50:00
1,530,Age Of Gladiators,2/25/2016,$9.99,56% (83%),"183,486","18,367","±3,872","16,872","±3,711",9:33:00,4:55:00
1,381,Planet Driller,7/4/2016,$1.99,N/A (N/A),"36,126","18,154","±3,850","8,970","±2,706",3:22:00,3:52:00
1,387,Artificial Defense,6/1/2016,$4.99,N/A (N/A),"90,588","18,154","±3,850","12,601","±3,207",3:11:00,2:25:00
1,58,Ashes of the Singularity: Escalation,11/10/2016,$39.99,54% (82%/81%),"717,421","17,940","±3,827","10,252","±2,893",8:16:00,5:00:00
1,393,Ninja Stealth,9/29/2016,$0.49,N/A (N/A),"8,686","17,727","±3,804","11,960","±3,125",6:49:00,5:44:00
1,1173,On My Own,2/26/2016,$7.99,30% (70%),"141,639","17,727","±3,804","4,058","±1,820",3:03:00,1:31:00
1,767,Oriental Empires,9/20/2016,$29.99,56% (83%),"518,827","17,300","±3,758","16,872","±3,711",10:57:00,5:44:00
1,950,Boss Monster,4/28/2016,$4.99,18% (60%),"85,259","17,086","±3,735","13,882","±3,366",2:54:00,1:50:00
1,420,Tiny Guardians,3/23/2016,$9.99,N/A (N/A),"168,551","16,872","±3,711","9,824","±2,832",4:36:00,3:26:00
1,458,Beasts Battle,6/15/2016,$1.99,N/A (N/A),"33,575","16,872","±3,711","10,679","±2,953",3:24:00,3:31:00
1,202,Okhlos,8/18/2016,$12.99,67% (87%/69%),"216,400","16,659","±3,688","12,174","±3,152",1:59:00,1:17:00
1,423,Fibbage XL,3/24/2016,$9.99,N/A (N/A),"166,423","16,659","±3,688","15,164","±3,518",5:43:00,3:11:00
1,452,Tyto Ecology,4/14/2016,$6.99,43% (77%),"116,446","16,659","±3,688","15,591","±3,568",3:07:00,1:58:00
1,639,Kick Ass Commandos,11/17/2016,$9.99,95% (96%),"166,423","16,659","±3,688","9,397","±2,770",2:50:00,3:20:00
1,1098,TASTEE: Lethal Tactics,5/10/2016,$14.99,61% (85%),"249,718","16,659","±3,688","12,387","±3,180",2:52:00,1:57:00
1,1116,Perfect Golf,5/3/2016,$34.99,25% (66%),"582,898","16,659","±3,688","15,805","±3,592",89:03:00,6:49:00
1,1374,Survivors,5/5/2016,$3.99,25% (66%),"66,469","16,659","±3,688","11,960","±3,125",4:29:00,3:09:00
1,1456,Another Brick in the Mall,11/3/2016,$12.99,61% (85%),"213,621","16,445","±3,664","14,950","±3,494",5:27:00,4:21:00
1,254,Crush Your Enemies,7/13/2016,$9.99,61% (85%/63%),"160,020","16,018","±3,616","10,038","±2,863",3:04:00,2:18:00
1,1217,Golden Swords,10/26/2016,$2.24,N/A (N/A),"34,924","15,591","±3,568","9,824","±2,832",2:55:00,3:16:00
1,416,Sneak Thief,8/5/2016,$9.99,41% (76%),"153,616","15,377","±3,543","12,815","±3,234",3:59:00,2:31:00
1,359,Techwars Online,3/17/2016,$9.99,30% (70%),"151,488","15,164","±3,518","1,068",±933,2:44:00,2:20:00
1,1357,Hello From Indiana,12/9/2016,$0.99,N/A (N/A),"14,801","14,950","±3,494","13,242","±3,288",5:30:00,6:24:00
1,628,Balrum,2/29/2016,$14.99,39% (75%),"220,908","14,737","±3,468","12,601","±3,207",10:23:00,4:41:00
1,310,Doors,2/12/2016,$4.99,20% (62%/40%),"70,339","14,096","±3,392","10,038","±2,863",1:54:00,2:05:00
1,476,Empire of the Gods,1/27/2016,$1.99,N/A (N/A),"28,051","14,096","±3,392","8,757","±2,674",3:08:00,3:32:00
1,557,Last Hope - Tower Defense,4/13/2016,$8.99,59% (84%),"126,723","14,096","±3,392","6,194","±2,248",6:05:00,5:17:00
1,1238,WayOut,11/4/2016,$0.49,83% (92%),"6,907","14,096","±3,392","8,116","±2,574",1:03:00,0:56:00
1,1400,Screeps,11/16/2016,$14.99,80% (91%),"211,299","14,096","±3,392","13,028","±3,261",55:02:00,7:16:00
1,394,GROOVY,5/27/2016,$7.99,N/A (N/A),"109,215","13,669","±3,340","6,834","±2,362",3:13:00,3:28:00
1,784,Evertown,1/11/2016,$2.99,26% (67%),"40,870","13,669","±3,340","2,990","±1,562",3:36:00,3:03:00
1,1440,Bastard Bonds,6/15/2016,$19.99,87% (93%),"273,243","13,669","±3,340","11,319","±3,040",15:39:00,4:42:00
1,62,Mushroom Wars,4/7/2016,$9.99,52% (81%/80%),"134,415","13,455","±3,314","9,397","±2,770",3:52:00,4:04:00
1,360,Sunrider: Liberation Day,3/4/2016,$24.99,61% (85%),"336,240","13,455","±3,314","8,543","±2,641",8:41:00,6:08:00
1,600,Catch Me,9/5/2016,$5.99,64% (86%),"80,595","13,455","±3,314","12,601","±3,207",3:26:00,2:25:00
1,1515,Voodoo Garden,8/4/2016,$2.99,45% (78%),"40,230","13,455","±3,314","12,387","±3,180",5:04:00,1:43:00
1,766,Planet R-12,5/5/2016,$4.99,N/A (N/A),"66,078","13,242","±3,288","6,834","±2,362",2:57:00,3:23:00
1,895,Talisman: The Horus Heresy,2/22/2016,$14.99,28% (68%),"198,498","13,242","±3,288","11,106","±3,011",4:08:00,1:45:00
1,236,Fortified,2/3/2016,$14.99,45% (78%/66%),"195,290","13,028","±3,261","11,747","±3,097",5:15:00,1:55:00
